Meeting / File Date,Name,File Type,Media Purpose,Download Link
12/12/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061212ccm.pdf
1/4/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050104.pdf
1/11/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050111m.pdf
1/14/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050114m.pdf
1/18/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050118m.pdf
1/25/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050125m.pdf
2/1/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050201m.pdf
2/8/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050208m.pdf
2/15/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050215m.pdf
2/22/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050222cwm.pdf
2/23/2005,City Council Special Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050223spcm.pdf
3/1/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050301cm.pdf
3/8/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050308cwm.pdf
3/15/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050315cm.pdf
3/22/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050322cwm.pdf
4/5/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050405cm.pdf
